Id,SalePrice
1461,124832.3511380646
1462,159421.03585832551
1463,182423.54727955753
1464,189826.68323742758
1465,179517.87319772874
1466,181601.49100731988
1467,173722.0726788903
1468,175241.24183529764
1469,180315.08608254968
1470,122289.79384595888
1471,203134.71874520386
1472,91226.62799713826
1473,97475.1377363019
1474,147191.9669906994
1475,122541.64367109121
1476,351140.8692529411
1477,255457.86112141397
1478,280004.5858681453
1479,268283.435964379
1480,478973.14703044563
1481,315877.36035841436
1482,203834.45308152007
1483,179587.9585483332
1484,163990.8987468803
1485,175075.68463821613
1486,194286.5517914094
1487,303599.89271749696
1488,234872.53330712693
1489,201003.71367474934
1490,219166.35637090434
1491,187146.98171841024
1492,89400.82215684334
1493,177410.77997235765
1494,289760.30409442284
1495,285728.8681383187
1496,231764.12354762852
1497,179557.14222062018
1498,157308.19578318368
1499,158547.82000415228
1500,155521.90509873122
1501,175566.66375903488
1502,147601.25621578295
1503,295581.1326129405
1504,239614.3861710041
1505,224229.97947699294
1506,187333.58577274455
1507,240540.73287766497
1508,196605.56112447963
1509,163733.78449472596
1510,149730.4754052921
1511,143844.80096433611
1512,164466.82128869265
1513,146063.73935895812
1514,161433.50681235248
1515,192498.82918797128
1516,153412.67045842865
1517,156382.58326805287
1518,124014.39938440369
1519,225062.69589844896
1520,139386.3850114511
1521,137713.9013994879
1522,164115.50332766352
1523,117093.26818173571
1524,125438.35242551829
1525,124200.70681652412
1526,123162.64398396054
1527,97986.81553554504
1528,136611.13557742888
1529,143605.53819891877
1530,168005.51843582393
1531,111602.34185573901
1532,102639.6741252584
1533,143484.8579430655
1534,119016.88165693398
1535,155609.1055577863
1536,116564.02293999914
1537,66508.47769093345
1538,157615.92918959408
1539,188547.10142118903
1540,103007.51751116518
1541,145197.25101471512
1542,141969.85594082557
1543,218067.3114433128
1544,84681.34919806613
1545,107863.29589430403
1546,133468.42928838538
1547,140573.4212288922
1548,134337.30762938678
1549,106099.02227465554
1550,136482.30305201796
1551,117527.49265342015
1552,121379.88153139986
1553,143959.08639991377
1554,109042.45276622885
1555,175919.9523460049
1556,95545.08457919808
1557,113667.39706684646
1558,86122.84231906383
1559,102576.84887044047
1560,147499.0811507164
1561,140309.03919620338
1562,129300.8998177536
1563,120139.14680076641
1564,152481.3468211832
1565,146466.07627985097
1566,238792.53307332602
1567,66627.09196791194
1568,223552.0994055708
1569,134907.6353869355
1570,138727.85117685044
1571,120363.02175094609
1572,145162.35587178124
1573,233143.16865857237
1574,115459.89946989197
1575,210527.22896175607
1576,222171.99467776172
1577,187846.64937096115
1578,143765.83904802176
1579,147857.96066139318
1580,191806.6658845764
1581,143507.0581134236
1582,130639.35548952801
1583,338686.51073056244
1584,228365.79340046772
1585,142197.3086791467
1586,71292.95007463881
1587,97534.03918889721
1588,142830.71463555022
1589,95805.69070609479
1590,131779.8155341871
1591,96660.50877060402
1592,124314.27107040209
1593,123684.65482605224
